timepoint,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2022-06-01 11:08:08.017201,299.2,299.3,299.3,296.0,299.3,299.4,299.5,299.5,300.8,299.2,300.4,300.4,303.3,297.9,264.8,304.1
2022-06-01 11:08:09.035512,299.5,299.6,299.5,297.0,299.6,299.6,299.7,299.6,300.2,301.4,300.2,300.6,301.0,298.4,285.5,299.2
2022-06-01 11:08:10.050918,299.6,299.7,299.7,299.0,299.7,299.8,299.8,299.7,300.4,300.6,300.6,300.0,301.2,299.0,295.9,299.6
2022-06-01 11:08:11.019426,299.7,299.7,299.8,298.0,299.8,299.8,299.8,299.8,300.4,299.2,300.2,299.6,301.2,299.0,300.2,300.8
2022-06-01 11:08:12.034821,299.7,299.8,299.8,299.0,299.8,299.8,299.9,299.8,300.8,300.4,300.2,300.2,300.6,299.2,302.3,300.6
2022-06-01 11:08:13.074051,299.8,299.8,299.8,298.0,299.8,299.8,299.9,299.8,300.6,300.4,300.2,299.8,300.4,299.6,303.5,299.6
2022-06-01 11:08:14.021583,299.8,299.8,299.9,299.0,299.8,299.9,299.9,299.8,299.8,300.0,300.0,300.0,301.0,299.4,304.1,300.8
2022-06-01 11:08:15.022439,299.8,299.9,299.9,299.0,299.9,299.9,299.9,299.8,300.2,300.2,300.0,300.2,299.8,299.4,303.7,300.6
2022-06-01 11:08:16.022742,299.8,299.8,299.8,299.0,299.9,299.9,299.9,299.9,300.2,300.4,300.2,300.0,300.2,299.6,303.1,300.4
2022-06-01 11:08:17.024494,299.9,299.9,299.8,299.0,299.8,299.8,299.9,299.9,300.2,299.4,300.0,299.8,300.8,299.6,302.7,300.0
2022-06-01 11:08:18.038609,299.9,299.9,299.9,299.0,299.9,299.9,299.9,299.9,300.0,300.4,300.0,300.4,300.2,299.6,302.1,300.2
2022-06-01 11:08:19.048244,299.9,299.9,299.9,299.0,299.9,299.9,299.9,299.9,300.0,299.8,300.2,300.0,300.4,299.4,301.2,299.8
2022-06-01 11:08:20.037777,299.9,299.9,299.9,300.0,299.9,299.9,299.9,299.9,300.2,300.8,300.2,299.8,300.6,299.6,302.0,300.6
2022-06-01 11:08:21.027976,299.9,299.9,299.9,300.0,299.9,299.9,300.0,299.9,299.4,299.8,299.6,300.2,300.0,299.6,301.6,299.8
2022-06-01 11:08:22.041078,300.0,300.0,300.0,299.0,300.0,300.0,300.0,299.9,299.8,300.2,300.0,299.8,299.8,299.8,301.4,300.2
2022-06-01 11:08:23.032102,299.9,300.0,300.0,299.0,299.9,300.0,300.0,299.9,300.0,300.4,300.2,299.8,300.6,299.8,301.0,300.6
2022-06-01 11:08:24.062106,299.9,300.0,299.9,300.0,299.9,300.0,300.0,300.0,300.6,300.4,300.0,300.2,300.0,299.4,302.0,299.8
2022-06-01 11:08:25.023345,300.0,300.0,300.0,299.0,300.0,300.0,300.0,300.0,300.0,300.0,300.2,300.0,299.8,299.4,301.4,300.2
2022-06-01 11:08:26.043594,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.2,300.6,300.2,300.6,301.0,299.8,300.4,299.8
2022-06-01 11:08:27.040839,300.0,299.9,299.9,300.0,300.0,300.0,300.0,299.9,300.4,300.8,299.8,299.8,299.0,299.6,300.2,299.8
2022-06-01 11:08:28.039667,300.0,300.0,300.0,300.0,299.9,300.0,300.0,300.0,299.8,299.2,300.0,299.6,300.4,299.8,300.6,300.4
2022-06-01 11:08:29.042216,299.9,299.9,299.9,299.0,299.9,299.9,300.0,299.9,300.2,299.2,300.2,300.0,299.8,299.2,301.2,299.8
2022-06-01 11:08:30.030167,299.9,299.9,300.0,299.0,300.0,300.0,300.0,300.0,300.4,299.4,300.0,300.0,299.8,299.8,301.0,299.4
2022-06-01 11:08:31.014310,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,299.8,300.0,300.6,300.6,299.8,300.8,299.6
2022-06-01 11:08:32.017436,300.0,300.0,300.0,299.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,299.2,300.0,301.2,300.0
2022-06-01 11:08:33.031299,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.2,299.4,300.0,300.0,300.2,299.6,300.2,300.2
2022-06-01 11:08:34.042918,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.4,300.2,299.4,300.2,300.4,300.0,300.8,300.2
2022-06-01 11:08:35.028556,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,299.8,300.4,299.6,300.0,299.8,299.8,299.6,300.2
2022-06-01 11:08:36.034493,300.0,300.0,300.0,300.0,300.0,300.0,300.0,299.9,300.2,300.2,300.0,299.8,300.4,299.6,300.6,300.4
2022-06-01 11:08:37.041160,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.4,300.0,300.6,300.4,300.2,300.2,300.4
2022-06-01 11:08:38.030341,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.4,300.0,300.0,300.0,299.6,300.0,300.2,300.0
2022-06-01 11:08:39.037169,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,299.8,299.6,300.2,300.0,299.6,299.6,299.2,300.2
2022-06-01 11:08:40.027526,300.0,300.0,300.0,299.0,300.0,300.0,300.0,300.0,300.6,300.6,300.4,300.0,300.6,299.6,300.2,299.4
2022-06-01 11:08:41.049830,300.0,300.0,300.0,299.0,300.0,300.0,300.0,300.0,300.0,299.4,300.0,299.8,299.2,299.8,301.0,300.2
2022-06-01 11:08:42.037620,300.0,300.0,300.0,299.0,300.0,300.0,300.0,300.0,300.0,300.4,299.6,300.4,300.2,300.0,300.2,300.6
2022-06-01 11:08:43.041641,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.4,299.8,299.8,300.0,299.6,299.6,299.8
2022-06-01 11:08:44.046021,300.0,300.0,299.9,300.0,300.0,300.0,299.9,299.9,300.0,299.6,299.8,300.0,300.0,299.6,299.6,300.2
2022-06-01 11:08:45.043014,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,299.8,299.0,300.4,300.2,300.0,299.8,300.0,300.2
2022-06-01 11:08:46.048817,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,299.8,300.6,300.0,300.0,299.6,299.8,300.4,300.2
2022-06-01 11:08:47.040707,300.0,300.0,300.0,299.0,300.0,300.0,300.0,300.0,300.4,300.2,299.8,300.2,300.2,299.6,300.0,299.6
